Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-DEC-2023,21461.5,21523.9,21417.4,21487.45,157323828,9474.38
01-JAN-2024,21449.25,21551.45,21376.5,21457.1,99476763,6143.51
02-JAN-2024,21453.7,21465.8,21299.1,21346.15,120622084,10561.38
03-JAN-2024,21362.15,21368.3,21216.55,21256.55,104984316,9653.58
04-JAN-2024,21346.75,21551.55,21329.1,21516.6,137421486,13370.91
05-JAN-2024,21529.95,21602.1,21380.4,21514.2,105208580,10762.6
08-JAN-2024,21511.95,21554.05,21270.15,21292.45,89942534,9168.09
09-JAN-2024,21385.45,21479.45,21155.4,21197.25,108328488,10038.64
10-JAN-2024,21138.85,21256.95,21095.85,21224.3,90709240,8087.23
11-JAN-2024,21299.25,21382.75,21170.8,21249.2,84386651,7794.43
12-JAN-2024,21303.75,21371.95,21217.9,21300.7,93204242,8301.49
15-JAN-2024,21374.5,21499.35,21336.7,21461.35,111099511,10497.95
16-JAN-2024,21444.05,21513.5,21415,21447.15,113416090,10271.9
17-JAN-2024,20733.7,21015.8,20486.9,20528.9,310235134,29891.67
18-JAN-2024,20245.95,20522.1,20194.75,20324.05,236264043,22232.24
19-JAN-2024,20510.35,20604.9,20371.15,20425.35,183547521,17507.71
20-JAN-2024,20548.95,20619.5,20412.65,20542.05,90491502,7225.59
23-JAN-2024,20735.5,20771.85,20081.3,20137.05,280790077,27030.16
24-JAN-2024,19878.55,20324.5,19878.55,20206.4,220240456,20001.27
25-JAN-2024,20204.15,20234.9,19941.3,20099.4,185143381,18697.48
29-JAN-2024,20246.4,20465,20235.75,20413.35,202498431,17587.07
30-JAN-2024,20392.15,20466.3,20242.7,20285.5,165410209,15976.92
31-JAN-2024,20249.25,20587.45,20160.55,20497.5,165554377,16802.8
01-FEB-2024,20555.95,20570.2,20355.7,20516.65,130895977,12091.4
02-FEB-2024,20661.05,20817.5,20408.3,20434.05,132422150,12582.3
05-FEB-2024,20441.35,20458.05,20260,20315.85,133559363,12374.07
06-FEB-2024,20351.8,20391,20240.55,20365.5,140575561,12701.09
07-FEB-2024,20463.45,20537.6,20357.85,20443.65,183647970,14728.82
08-FEB-2024,20496.65,20542.85,20021.35,20064.7,208478742,19111.3
09-FEB-2024,20037.85,20233.55,19958.6,20203.3,202663669,15738.6
12-FEB-2024,20198.4,20231.55,19822.05,19918.5,134976766,10624.83
13-FEB-2024,19984.3,20272.1,19920.05,20190.5,146429923,13733.14
14-FEB-2024,19976.65,20394,19941.1,20325.55,155207093,15632.02
15-FEB-2024,20372.2,20442.95,20205.35,20416.15,113011995,11051.92
16-FEB-2024,20526,20552.3,20401.9,20472.75,,
19-FEB-2024,20543.4,20611.75,20466.55,20548.9,84166855,9274.96
20-FEB-2024,20517.45,20818.2,20482.2,20800.85,107092214,11862.1
21-FEB-2024,20897.3,20897.3,20631.45,20686.75,111170099,11161.19
22-FEB-2024,20635.05,20712,20440.9,20665.9,116873320,12010.61
23-FEB-2024,20717.7,20794.65,20645,20677.1,87644418,8897.82
26-FEB-2024,20585.85,20724.2,20585.25,20619.7,85616498,8393.86
27-FEB-2024,20564.85,20631.3,20527.95,20552.9,119210293,11790.4
28-FEB-2024,20577.05,20627.9,20293.35,20340.4,89805160,8177.38
29-FEB-2024,20306.85,20495.4,20234.75,20407.9,154700730,16118.11
01-MAR-2024,20446.1,20863.65,20446.1,20842.7,96295847,9554.42
02-MAR-2024,20884.05,20906.5,20827.7,20848.25,14554274,635.87
04-MAR-2024,20852.15,20959.8,20807,20927.25,121313194,9183.89
05-MAR-2024,20846.5,20958.25,20814.5,20854.5,113369435,11382.42
06-MAR-2024,20815.65,21064.75,20802.7,20986.15,168998617,16182.24
07-MAR-2024,21017.95,21063.8,20947.85,21005.85,108013373,11345.41
11-MAR-2024,21001.4,21020.4,20833.25,20862.55,132580425,12771.65
12-MAR-2024,20867.95,21069.85,20647.85,20897.5,161838433,16269.72
13-MAR-2024,20928.4,20960.45,20696.75,20758.2,174507234,16479.17
14-MAR-2024,20725.3,20864.2,20590.5,20725.9,135307354,12969.47
15-MAR-2024,20617.65,20706.45,20530.35,20644.3,291039029,30364.4
18-MAR-2024,20572.95,20703.25,20413.15,20626.65,87705964,7851.98
19-MAR-2024,20552.5,20651.6,20541.3,20601.95,121379581,11384.07
20-MAR-2024,20591,20689.85,20362.8,20544.25,127574026,12315.55
21-MAR-2024,20692.45,20822.75,20656.85,20714.8,134066892,12347.31
