Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-MAY-2024,40307.7,41190.55,40305.4,40971.05,134643156,6584.46
22-MAY-2024,41204.4,41397.9,40946.9,41331.55,121039349,6045.6
23-MAY-2024,41318.45,41625.9,41088.5,41559.25,130050488,7189.05
24-MAY-2024,41536.6,41876.95,41413.25,41634.65,96085121,5071.51
27-MAY-2024,41842.65,41854.3,41114.2,41292.65,97546576,5173.01
28-MAY-2024,41445.75,41508.35,40705.45,40794.85,70164670,3867.25
29-MAY-2024,40471.15,40834,40410.6,40572.2,81243661,3926.79
30-MAY-2024,40471.2,40558,39801.9,39986.85,99474099,5383.78
31-MAY-2024,40210.25,40476.7,39922.25,40255.5,191049153,11563.77
03-JUN-2024,42628.3,43084.75,41894.55,42981.9,280706778,14673.31
04-JUN-2024,42881.6,42881.6,36244,37624.1,483740645,21874.82
05-JUN-2024,38514,38799.9,36522.05,38712.35,261946180,12246.48
06-JUN-2024,39407.25,40061.65,39048.6,39339.65,210049679,10172.76
07-JUN-2024,39298.2,40350.75,39106,40283.3,168994669,8497.69
10-JUN-2024,40671.1,41019.95,40388.05,40510.05,122162179,5802.8
11-JUN-2024,40737.35,40877.35,40394.4,40620.8,141456266,6310.6
12-JUN-2024,40892.9,41266.05,40705.5,40995.65,121661072,5613.36
13-JUN-2024,41357.7,41357.7,40803.45,40943.25,88003836,4376.66
14-JUN-2024,41085.95,41097.85,40727.15,41040,84185309,4087.96
18-JUN-2024,41353.5,41355.6,41091.6,41307.25,93187576,4268.53
19-JUN-2024,41432.15,41458.25,40556.8,40600.9,88163918,4442.74
20-JUN-2024,40686.2,40915.85,40282.75,40753.95,89243158,5395.3
21-JUN-2024,40856.05,40876.05,40361.55,40457.55,145333912,8884.75
24-JUN-2024,40297.95,40590.8,40089.7,40464.15,80468518,3930.09
25-JUN-2024,40562.8,40606.05,40135.75,40255.2,95422719,4142.6
26-JUN-2024,40225.75,40883.6,40145.55,40822.6,88831127,6128.11
27-JUN-2024,40861.35,41479,40729.15,41342.35,194524789,10681.39
28-JUN-2024,41438.35,42029.95,41437.8,41789.2,126165304,8325.76
01-JUL-2024,41854.3,41921.15,41480.9,41569.8,92117892,4105.34
02-JUL-2024,41747.3,41934.9,41422.6,41714.55,116861216,4940.01
03-JUL-2024,41803.1,41854.45,41555.55,41784.5,74732498,3730.12
04-JUL-2024,41922.75,42128.9,41755.85,41847.7,97075895,4072
05-JUL-2024,41877.95,42622.85,41714.6,42523.9,122395512,5524.93
08-JUL-2024,42606.3,42747.8,42354.95,42644.95,134304731,5487.98
09-JUL-2024,42761.1,42837.5,42434.9,42609.2,100528105,4118.55
10-JUL-2024,42767.15,42801.1,41763.2,42675.45,113838230,4498.96
11-JUL-2024,42822.55,43035.9,42574.95,42756.85,178328389,7207.66
12-JUL-2024,42928.45,43136.95,42570.45,42846.35,127433170,5772.32
15-JUL-2024,43093.95,43362.1,42796.95,43303,138902561,5158.51
16-JUL-2024,43320.05,43656.55,43144.85,43204.3,163663028,7013.97
18-JUL-2024,43328.55,43365.45,42734.85,43236.65,152223162,6951.97
19-JUL-2024,43238.15,43256.6,41971.15,42062.8,133416381,6234.8
22-JUL-2024,41876.7,42226.4,41467.55,41945.5,123526607,6754.54
23-JUL-2024,42118.7,42198.3,40325.7,41719.5,191638514,9198.13
24-JUL-2024,41690,42509.85,41592.1,42234.35,134411674,6266.68
25-JUL-2024,41863.8,42878.85,41729.55,42770.3,223911163,8822.55
26-JUL-2024,43040.3,43389.15,42924.8,43238.3,176326819,8647.65
29-JUL-2024,43475.15,43732.8,43308,43438.7,187939974,8822.92
30-JUL-2024,43510.25,44341.8,43499.75,43908.35,248288546,11077.55
31-JUL-2024,43962.9,44134.6,43685.15,44086.8,171860160,9232.33
01-AUG-2024,44398.05,45022.15,44293.55,44954.45,250786206,15492.63
02-AUG-2024,44481.75,44703.4,44092.65,44334.25,158245524,8244.78
05-AUG-2024,43364.95,43594.45,42284.6,42640.9,212781891,10307.67
06-AUG-2024,42873.45,43640.5,42377.7,42474.95,135277279,7110.68
07-AUG-2024,43107.45,43446.5,42909.6,43400.4,179980413,7969.8
08-AUG-2024,43418.75,43439.25,42601.75,42687.15,133992202,6729.6
09-AUG-2024,43286.7,43426.3,43018.15,43216.05,100267762,4488.67
12-AUG-2024,42991.8,43150.2,42555.45,42916.05,131525208,6719.96
13-AUG-2024,42973.55,43132.7,42455.6,42570.35,106208676,5013.1
14-AUG-2024,42621.25,42716.8,42240.8,42298.95,96687085,4605.54
16-AUG-2024,42516.9,42807.6,42244.55,42762.7,86645656,4591.14
19-AUG-2024,43076.6,43445.4,43037.1,43332.35,94890114,5576.71
20-AUG-2024,43532.7,43592,43369.8,43527.65,92445158,4547.16
21-AUG-2024,43573.65,43764.6,43448.8,43591.45,89188589,4528.09
22-AUG-2024,43703.95,43742.45,43249.05,43321.15,85228669,4597.98
23-AUG-2024,43385.2,43546,43308.2,43338.15,87005144,4549.86
26-AUG-2024,43555.8,43864.45,43415.6,43792.05,79196614,4179.73
27-AUG-2024,43794.2,43870.55,43483.65,43523.7,83525662,3929.91
